KS,AD,pKS,pAD
0.11300052456723203,-0.8138491096772834,0.8404627289333404,0.8698
0.15203706941773037,0.8503315260457172,0.5092023222349676,0.1429
0.18617765343591536,0.5445103423175478,0.26914938834843766,0.1961
0.1782217170834062,-0.007557107844052189,0.3164098944442629,0.3566
0.10941598181500262,-0.7781023662991241,0.8663763791992903,0.8398
0.09555866410211575,-1.0216053368538438,0.9448518652555761,0.9833
0.17118377338695576,-0.5308933019219304,0.3627429579304664,0.6583
0.2387218045112782,0.33131067221908167,0.07648689785626739,0.2499
0.14154572477705893,-0.3303036695430332,0.5988406908047268,0.5243
0.11697849274348662,-0.5858208732268261,0.8103502347024857,0.6813
0.16353383458646617,0.1326318324446579,0.41792379691001613,0.3098
0.20589263857317713,-0.2738622373479317,0.174329702412603,0.4854
0.16147927959433467,0.2615199308785103,0.43360378399405985,0.2711
0.37432243399195664,8.929921082969992,0.0006493078340702093,0.0002
0.13494492044063647,-0.2692339315794998,0.6570012301105109,0.4813
0.2009966777408638,0.5539436190935759,0.19501912594907292,0.1931
0.2273998950865536,1.4750535163301846,0.10296098809049012,0.0826
0.12086903304773562,-0.267403474151638,0.7788495343053945,0.4775
0.1286501136562336,-0.8216695381850854,0.7122482040022869,0.8719
0.18241825493967476,0.17099862755006157,0.29077110263410094,0.2986
0.13778632628081833,-0.4601083311103099,0.6320940340056093,0.5964
0.17472460220318237,0.7678538449774143,0.33904644520761174,0.1575
0.13682461968875678,-0.1202507244282725,0.6404677023324462,0.4127
0.22626333275048086,0.18092757438566634,0.1060853723414626,0.2902
0.14648539954537507,-0.46775674966382613,0.5558898939986736,0.6052
0.2461531736317538,1.3339579920616564,0.06238169525987453,0.092
0.12567756600804336,-0.4692633950057891,0.7380607439541853,0.6015
0.14513026752928834,-0.283617320035419,0.5678355288724936,0.5011
0.21472285364574226,3.0645205883759545,0.14129589210331894,0.0196
0.23338870431893688,1.0538253363596362,0.08816603530443307,0.116
0.12746983738415807,-0.6215542473059461,0.7224014168172442,0.7163
0.14128344116104213,-0.41164691603125386,0.6012039738364885,0.5631
0.14840881272949816,-0.11535109438143223,0.5395639661750453,0.4041
0.12025703794369645,-0.4960690916273941,0.7836832649967637,0.6305
0.15863787375415284,0.6102860596764687,0.4556087716513816,0.1881
0.20632977793320512,1.2498543208620243,0.17259447520460736,0.1003
0.11780905752753978,0.012617748531537125,0.8035070524333596,0.3625
0.1042140234306697,-0.5942319838156448,0.8996738217297053,0.6976
0.19229760447630706,0.13666336998311687,0.23635919759428595,0.3125
0.12720755376814127,-0.5736124162357461,0.7249293623389717,0.6816
0.1534796293058227,0.530157335139461,0.4973199098081504,0.2028
