KS,AD,pKS,pAD
0.41808008393075713,12.146109010478957,8.481534941663698e-05,0.0001
0.1456548347613219,-0.2778655224840059,0.5629935275664718,0.4889
0.17297604476307046,-0.3708948449657455,0.3506076215312428,0.5449
0.11383108935128519,-0.6211204726519051,0.8342561208814712,0.7146
0.1401031648889666,-0.27469551585694796,0.6115236456009584,0.472
0.23614268228711313,1.95163714040184,0.08196847670329269,0.0528
0.20025354082881622,1.8192726012899822,0.19820268330351076,0.0567
0.22315964329428223,1.3895183941153348,0.11474745146588401,0.0867
0.21035146004546248,1.1973702171508698,0.15696733412380057,0.0974
0.12432243399195664,-0.7744159672820891,0.7498888223843834,0.8402
0.13713061724077635,0.07197519958557205,0.6376771340488095,0.3244
0.09171183773386955,-1.0561527008714926,0.9602023590185046,0.9911
0.13402692778457773,-0.3980648968082975,0.6650131105235282,0.5687
0.15702045812204932,-0.02361325255274172,0.4685175941221797,0.3718
0.19054904703619513,0.6948714912114349,0.24532090332118378,0.1648
0.10705542927085154,-0.9991240553406135,0.8821112965216669,0.9755
0.2047560762371044,-0.2422389827314138,0.1789932464101808,0.4642
0.24173806609547124,2.8750663757970876,0.07043999823977251,0.0219
0.20558664102115753,0.42806743136994174,0.17542857444331716,0.2178
0.1647141108585417,-0.16142470152267563,0.40926609858336643,0.4339
0.14805910124147578,-0.2484912396849405,0.5424844704605181,0.4738
0.1952264381884945,0.9071704568291792,0.2217094421395518,0.1355
0.08384332925336598,-1.047401899803652,0.9824153635145543,0.9899
0.1270764119601329,-0.3854218585382302,0.7260501165266057,0.5455
0.23203357230285016,1.4290782442965628,0.09139461127619798,0.0851
0.16104214023430669,-0.07874064639620994,0.43702918731729706,0.3933
0.15203706941773037,-0.3027982028125115,0.5092023222349676,0.4986
0.10486973247071166,-0.9238802023033392,0.8959742798898954,0.9446
0.18442909599580345,-0.18135401130456155,0.2789877202800392,0.4415
0.1041265955586641,-0.6585276277564168,0.900261584475186,0.7514
0.2179139709739465,0.06528433639130041,0.1307862748773519,0.3413
0.1721891939150201,0.36979033116297816,0.35587440570302825,0.235
0.10666200384682636,-0.9089239070702958,0.8843966030598687,0.9332
0.1306172407763595,-0.012600868127280705,0.6949896807480842,0.3708
0.1321472285364574,-0.7691452495549744,0.6816356352662828,0.833
0.1266829865361077,-0.4477845849274784,0.7293427573182848,0.5898
0.1305735268403567,-0.6383986208848151,0.6954690242854318,0.7345
0.14666025528938625,-0.30517552647110024,0.5544219584435853,0.5084
0.1574138835460745,-0.21727157146654927,0.46530406901594035,0.4529
0.10268403567057177,-0.790731075873459,0.9088451878785481,0.8477
0.10141633152649064,-0.7820686821135805,0.9160167381310006,0.8402
0.18110683685959084,1.4262249303140222,0.2985472791846999,0.0851
0.18657107885994054,0.9414568187909936,0.26685914858944343,0.1373
0.10517573002273124,-0.9294750515449345,0.8939777329818502,0.947
0.16895436265081307,-0.2997288005029879,0.3783835282024903,0.5011
0.17162091274698374,-0.6001423753106108,0.3599518969021579,0.7107
0.18818849449204406,0.42069949966253795,0.25803555253335625,0.229
0.1703969225389054,0.20017891243406682,0.3684041001597136,0.2882
0.19085504458821473,0.25757422423609727,0.24378778938533485,0.2714
0.12012589613568805,-0.16163772902386395,0.7845472193274587,0.433
0.17406889316314042,0.905929839352415,0.3434246396801027,0.1353
0.10154747333449904,-0.8554584520662638,0.915224926166392,0.8912
0.13599405490470362,-0.4872109048494579,0.6476784050564433,0.6209
0.14058401818499738,-0.5846616965296263,0.6072393255440294,0.6982
0.20602378038118552,1.0336063701971328,0.17373794605213883,0.1198
0.13424549746459172,-0.6064198621166711,0.6631067118967255,0.7087
0.14110858541703095,-0.6718645561071406,0.6027081068879073,0.7565
0.11684735093547823,-0.7682078641757856,0.8111860125740428,0.8269
0.09752579122224166,-0.9049409896180218,0.9360723239022392,0.9277
0.1212624584717608,-0.6227864588631843,0.7752509385081788,0.7228
0.0852858891414583,-0.9189400718773721,0.9792180017766651,0.9383
0.18801363874803287,0.5393252743002127,0.2588788087196998,0.1938
0.166593810106662,-0.11014414788428382,0.39538991085634795,0.4017
0.24374890715159994,0.6356880702701124,0.06661873863178673,0.1734
0.1971935653086204,0.5319129138844862,0.21234471076635952,0.196
0.09923063472635076,-0.8492814923403588,0.9274796727475743,0.8955
0.17162091274698374,-0.3768723020803282,0.3599518969021579,0.5552
0.14224514775310368,-0.3495368144891196,0.5928693888915758,0.5395
0.13315264906452176,-0.22180207155699383,0.672907587688378,0.4626
0.26232732995278896,3.353297538231657,0.03911312405961222,0.012
0.14268228711313166,-0.23261861920555907,0.5890977680051672,0.4653
0.20545549921314915,0.08272552038557356,0.17603547649045898,0.3279
0.17052806434691378,0.44835194113014937,0.3673507964807418,0.2153
0.16226613044238503,-0.6832271299164931,0.42765968407371235,0.7658
0.10452002098268928,-0.8570959999493661,0.8981551898107283,0.8954
0.18989333799615318,0.18186395240420164,0.24874502192139772,0.2923
0.17905228186745933,0.04238953436717507,0.31135181897840164,0.3441
0.12856268578422803,-0.7551780230642386,0.7130643141252524,0.8246
0.16174156321035146,-0.4479672184769591,0.43143298435778965,0.5969
0.1797079909075013,0.6115917672590621,0.30706525656344685,0.1866
0.19780556041265956,0.4301234727568481,0.20937411763062325,0.2238
0.1896310543801364,-0.06526302660031291,0.2502421160714917,0.3875
0.12755726525616368,-0.8377549644828574,0.7219390790092481,0.889
0.08795243923762895,-0.9892193278096667,0.9722763911991206,0.9738
0.1363874803287288,-0.4670697751784046,0.6443137630544356,0.6003
0.20479979017310718,0.5180371436891882,0.17872909312670632,0.2036
0.1307046686483651,-0.3911607984244091,0.6944633154078128,0.5603
0.13909774436090225,-0.521288024167593,0.6203448846358754,0.6472
0.16803636999475433,-0.23443788479119873,0.3850277040520604,0.4604
0.09184297954187795,-0.9384888976554848,0.9596848146711628,0.9498
0.1363874803287288,-0.4555029754127853,0.6443137630544356,0.5969
0.11094596957510054,-0.6001962009178599,0.8556514379288009,0.7052
0.11566707466340269,-0.5781175482539396,0.820330071086219,0.6843
0.1529113481377863,0.2385653228364941,0.5019098509498531,0.2777
0.17284490295506208,-0.3147681004298805,0.35162515698573527,0.5057
0.13293407938450777,-0.24362793867534496,0.6748359285984449,0.4717
0.1491519496415457,-0.26746129770810917,0.5331771441773765,0.4842
0.1303549571603427,-0.8214133914293481,0.6973499278123719,0.8696
0.14499912572127993,-0.20917570262648905,0.5688183945546331,0.4588
0.12366672495191466,-0.8268995764223431,0.7551752251331093,0.8804
0.18088826717957684,-0.1041701228225447,0.2998884720054497,0.4097
0.1966689980765868,0.345625131796307,0.21475536706896253,0.2479
0.1569330302500437,-0.8720576461622026,0.46927886929186496,0.9119
0.21258087078160517,0.3246704919671177,0.1488513853091709,0.2523
0.22246022031823745,1.6219435948051024,0.1168426839467713,0.0673
0.25227312467214547,0.12105705757183222,0.05248694317398503,0.3092
0.1378737541528239,-0.3341957026866659,0.6311362782823415,0.5235
0.125109284840007,-0.4867720699960741,0.7430319891804479,0.6166
0.1379174680888267,-0.9308960216454393,0.630669100461428,0.9456
0.14115229935303375,-0.29664310726657983,0.6022016124539421,0.4959
0.11811505507955937,-0.5994150361002251,0.801028676927166,0.6955
0.10264032173456898,-0.9460744890412975,0.9091334323190464,0.9518
0.2294544500786851,0.6417194195038064,0.09774105044773465,0.1741
0.14469312816926036,-0.4678320061383832,0.5715804691620436,0.603
0.14058401818499738,-0.4110925182884374,0.6072393255440294,0.5676
0.13022381535233432,-0.6344272409258903,0.6987520819141243,0.7276
0.16104214023430669,-0.5368464150066535,0.43702918731729706,0.6469
0.10250917992656058,-0.31615126953024386,0.9099995285718339,0.5135
0.07676167162091274,-0.9027801901543779,0.9932475739851148,0.9279
0.1416768665850673,-0.42804885203599674,0.5978802968443442,0.5723
0.09219269102990033,-0.9918919921214291,0.9584484157070007,0.9712
0.11675992306347263,-0.7601645199252954,0.8119890886640019,0.8259
0.1021157545025354,-0.8558889543089406,0.9122079001467359,0.8978
0.09499038293407938,-0.8734884899879073,0.9475264382682336,0.9085
0.12620213324007692,-0.6703490295865995,0.7334571927581759,0.7539
0.16698723553068717,0.3410515269878991,0.39248668078073523,0.2497
0.21655883895785977,0.834332233353381,0.13521919210893382,0.1441
0.15094422101766042,-0.7112751761040134,0.518103438420989,0.7885
0.21057002972547648,1.0366023037796774,0.1561693277219442,0.113
0.1251967127120126,-0.7470534467771088,0.7421718333945392,0.8132
0.10128518971848226,-0.6545549090870311,0.9168466432468056,0.7389
0.22626333275048086,0.1972006167796496,0.1060853723414626,0.288
0.18464766567581745,0.05496689128716568,0.27771250074005915,0.3338
0.12851897184822522,-0.1666101776988623,0.7133556918297722,0.4247
0.09166812379786676,-1.004218273398648,0.9603624992406183,0.9771
0.1992044063647491,0.9146441105806703,0.20304601842133485,0.1334
0.20112781954887218,0.6407732590429809,0.19437494433704686,0.1763
0.15015737016961006,-0.3436674356990916,0.5246686102401048,0.5253
0.113656233607274,-0.654515146862224,0.8357034157326593,0.7456
0.1911173282042315,0.4792474789532702,0.24231810476874077,0.2142
0.20781605175730022,1.37763129878849,0.16656043526466116,0.0857
0.24930057702395525,1.6224005450484213,0.05709691475080208,0.0659
0.10994054904703619,-0.9455169717880008,0.8626566167785036,0.9496
0.20165238678090575,-0.26633839740591814,0.19214121047567662,0.4755
0.1286501136562336,-0.6152825768265658,0.7122482040022869,0.7135
0.1516436439937052,0.990636505663907,0.5121159082909414,0.1276
0.27587865011365625,1.671956999591102,0.025878014066353563,0.0652
0.13302150725651338,-0.14662319088172457,0.6739143767038644,0.4201
0.1818499737716384,-0.12849313698286932,0.29429388540313,0.414
0.14360027976919043,-0.44152833268904956,0.5808356697374666,0.5899
0.10749256863087953,-0.7038714158507148,0.8792518322436625,0.7882
0.1498950865535933,-0.6425672873592937,0.5270063408655433,0.7348
0.20602378038118552,0.6651765455255543,0.17373794605213883,0.1758
0.20803462143731422,0.11709865344373827,0.16570051246774545,0.3138
0.07912222416506383,-0.9416979944742504,0.9904510023588372,0.9489
0.13595034096870082,0.3583713328223202,0.6479866703569083,0.2383
0.11383108935128519,-0.6631122391623985,0.8342561208814712,0.7449
0.13026752928833712,-0.2891665884085088,0.6982675202648638,0.4997
0.17529288337121873,0.5380502403373334,0.3353509695254807,0.1998
0.13153523343241824,-0.5151187805792908,0.6870849617331906,0.6407
0.19264731596432944,-0.15454254575094037,0.23463654986348417,0.4246
0.21279944046161917,0.48178147567930296,0.1480677580066295,0.2119
0.1593810106662004,-0.08052046810382521,0.4499160205915136,0.3879
0.14495541178527716,0.015995629026965184,0.5692241765808452,0.3555
0.19229760447630706,-0.2820735511217678,0.23635919759428595,0.4877
0.09005070816576324,-1.0987620852611983,0.9660046966610122,0.9973
0.11632278370344466,-0.9808827810722471,0.8151821698704228,0.9686
0.22473334499038294,1.661207105379099,0.11022157959961575,0.0603
0.16003671970624234,-0.3792153519893495,0.4447664935064,0.5552
0.14692253890540305,-0.5844250132611829,0.5522356570104878,0.6934
0.09179926560587515,-0.5758383636833629,0.9598520124848882,0.676
0.3658856443434167,6.540865821994318,0.0009363527649643616,0.0008
0.23780381185521945,0.8455416154520266,0.07840589532052827,0.152
0.22582619339045287,0.34057708398937386,0.10726602283023254,0.2406
0.24763944745584893,0.6306575316316871,0.05980285220684749,0.1757
0.10653086203881798,-0.971773880764818,0.8853536332284553,0.9641
0.10504458821472286,-0.6354101009466379,0.89486213400405,0.7284
0.1968875677566008,0.077404940764772,0.21370431153484964,0.326
0.18320510578772511,-0.03505538196502042,0.2861009887026287,0.3673
0.19269102990033224,2.3133107150920864,0.23426368950069665,0.0354
0.27876376988984086,3.877536159739585,0.023618545687845376,0.0093
0.15229935303374717,-0.5524700230884483,0.5069229017507202,0.6675
0.07448854694876726,-1.0378650675165366,0.9953063882598604,0.9872
0.32461968875677566,3.3537569547680643,0.004860334176151158,0.0148
0.13122923588039867,-0.6740882582146269,0.6898605194378147,0.7708
0.11763420178352858,-0.9217376442635566,0.8047684037999342,0.9407
0.1666375240426648,-0.06106945995838815,0.39493210309188703,0.3739
0.13970973946494142,-0.090757493568518,0.6148084349685915,0.4006
