id redshift galex.FUV galex.FUV_err galex.NUV galex.NUV_err sloan.sdss.uprime sloan.sdss.uprime_err sloan.sdss.gprime sloan.sdss.gprime_err sloan.sdss.rprime sloan.sdss.rprime_err sloan.sdss.iprime sloan.sdss.iprime_err sloan.sdss.zprime sloan.sdss.zprime_err panstarrs.ps1.g panstarrs.ps1.g_err panstarrs.ps1.r panstarrs.ps1.r_err panstarrs.ps1.i panstarrs.ps1.i_err panstarrs.ps1.z panstarrs.ps1.z_err panstarrs.ps1.y panstarrs.ps1.y_err cfht.megaprime.u cfht.megaprime.u_err cfht.megaprime.g cfht.megaprime.g_err cfht.megaprime.r cfht.megaprime.r_err cfht.megaprime.i cfht.megaprime.i_err cfht.megaprime.z cfht.megaprime.z_err ctio.ls.g ctio.ls.g_err ctio.ls.r ctio.ls.r_err ctio.ls.z ctio.ls.z_err 2mass.J 2mass.J_err 2mass.H 2mass.H_err 2mass.Ks 2mass.Ks_err wise.W1 wise.W1_err wise.W2 wise.W2_err
PTF09as 0.1866 0.0017182448232915027 0.0002803781363305405 0.002231386491828872 0.0004145576027382534 0.0023657450787366308 0.0002938589055581923 0.004300358259061612 0.0006121703815042636 0.007544397848199175 0.001025678492111681 0.007638168183624488 0.001302679074704593 0.012129540244491754 0.0042007482030625735 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.03061135582307294 -2.7912159631439515 0.028919566202698012 -2.6369545765538 nan nan nan nan
PTF09awk 0.0616 0.03436187668745014 0.008917243327499335 0.04202726928923024 0.005713705329370802 0.08349534506320551 0.009539646752466489 0.21247762133074524 0.023392579185378386 0.28994559522204527 0.0319213630743989 0.3734271515906404 0.04111220823559901 0.3952882168662754 0.045163115997210096 0.2141865480815397 0.02358072231353277 0.2744853583332325 0.030219278810742236 0.3705289590175773 0.04079313369572396 0.38142783792188156 0.041993038354878276 0.40465006025150824 0.04623274064250535 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.538347851620864 0.07663561728009584 0.4790326373607392 0.0622212687047153 0.3721888567633994 0.05806185828625487 nan nan nan nan
PTF09axi 0.064 nan nan nan nan 0.032929645928679974 0.005373362765511741 0.1178232870711353 0.013461738939125608 0.15335776975719764 0.017521682785097626 0.19317588916684575 0.022071047701525334 0.20020480247619732 0.028499823253698712 0.10639253552703026 0.012658784051581773 0.14649751350088194 0.01743054978730343 0.17961036709036912 0.02052113748168721 0.18375420046856134 0.024981812339174212 0.17815769725686476 0.03734184820560617 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
PTF09bcl 0.06 nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.9466452299988557 0.8474081460254795 3.5438581284603927 1.3843738369113563 5.021300688896528 1.9168521342356328 5.998694377505119 1.4052223663264354 7.3107022315507715 1.7736898602545175 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 9.967190733221356 1.1859151064288769 11.347357782349084 1.3501299786797405 10.470356788490074 1.4904903088456594 5.82682373252579 0.7921702831729863 3.49534703910492 0.4752005862644049
PTF09bgf 0.0318 0.05612263778958931 0.016006501082868087 0.05775661545452747 0.008221847387410091 0.09590388020446494 0.016356274819029896 0.20158724989630455 0.023985230273426868 0.24257023278719553 0.027714531052020912 0.28115209824144116 0.03492305600768278 0.2603265981500725 0.05246970479021601 0.19045387650713216 0.028386939935019284 0.21933068394103641 0.03122245645019215 0.2321334205503168 0.03155908020089476 0.30572541945780796 0.0435210360138406 0.3359828607395027 0.05983568436901213 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.15052948210822256 0.025672596066803405 0.07465208676416966 0.014453430561717797
PTF09bw 0.147 nan nan nan nan nan nan 0.015819093346230943 0.002357818390895838 0.03207914012543733 0.0038168364481281957 0.03838289962145532 0.004985532351555015 0.03442519461859444 0.011015001106629164 0.01732458252172024 0.002250279877003882 0.029270122091296792 0.0033442178715611523 0.0357068429414027 0.004248467354592997 0.0418173025620515 0.005952832885248113 0.04645506191795964 0.007922846894674682 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.03883735188450742 0.007827799397736172 0.02232559015025097 0.0063673875104628495
PTF09cjq 0.01929 0.9499107200355663 0.1352229681454619 1.3759650046638374 0.18706565316129495 4.404367150929609 0.5240398903110401 14.76255161024216 1.686675196325716 27.258343210894523 3.114364819890042 37.03701352177216 4.2316134569726005 44.19286195900177 5.049195158727161 14.428196852349105 1.5884625178734808 25.601049163992524 2.8185300929420927 33.64664544395482 3.704304542476418 36.15628316539939 3.980601400271719 44.61238686302997 5.097127404354291 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 57.33592953361334 6.821936771854847 64.31799089670281 7.652675569388131 55.76213700275719 7.93792670890628 30.810253691337827 4.188725884233809 16.866190027664874 2.400958562464524
PTF09ct 0.156 nan nan nan nan 0.012630115848270276 0.0029586640295992017 0.03014204153345296 0.003586356813057149 0.061847315025969886 0.00706628061108841 0.08101289805149432 0.00963906703366544 0.10085696574929559 0.01573379413731316 0.035502151660356904 0.0042241128008532565 0.05857036692824214 0.0066918773763353185 0.08272561434782061 0.009107620238642289 0.09454359595350592 0.01174364807271194 0.12460109296250887 0.014236127905499057 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.11122721381750998 0.016578293367837876 0.08268385845036888 0.012323937776810555
PTF09cu 0.05692 0.11889113917283953 0.01616352779981582 0.16649804299000745 0.022635797463186513 0.37605693403702806 0.0414017323451601 1.1078569867289556 0.12196876134918319 1.8475596588252503 0.20340582386088008 2.480853814903632 0.27312791318453955 2.9500614092563744 0.33705524207469933 1.1698842241133556 0.12879760785582886 1.8143916896636951 0.19975421885810135 2.48315773192179 0.27338156136144526 2.7591403175609677 0.3037656763939669 3.3981910244222155 0.38825567995258015 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 3.6359699941417434 0.43261455087869105 3.5225361327434017 0.4191179766268832 3.713707298973293 0.5286586551753333 nan nan nan nan
PTF09cvi 0.036 nan nan nan nan nan nan nan nan nan nan 0.01717394018653964 0.002679152970883734 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.007670068650250484 0.0009527307060160765 0.007280503657764136 0.0011357663292385577 0.016302005487236527 0.0020249390071398633 nan nan nan nan nan nan nan nan nan nan
