L,logL
6.449296682454044e-20,-44.187730776498675
5.04143001259824e-22,-49.03918227137184
9.446599723923798e-25,-55.31897246566957
7.600332345631481e-21,-46.32609497685043
3.109742663690026e-20,-44.91716188190751
2.0845421489167654e-23,-52.22490790057201
7.0510017911768e-24,-53.308872527088624
6.697307003532099e-21,-46.45258144704881
9.101880089936521e-21,-46.14580595740195
7.33347808515572e-23,-50.96700723548279
1.6392944752327125e-18,-40.95226572264727
1.758984177993437e-21,-47.78955048204719
1.7369204068120344e-20,-45.49958819588711
8.921391369753716e-19,-41.5606648493028
7.07746311264769e-21,-46.39737142680301
3.050549646781433e-23,-51.84413535242049
4.220626544162117e-18,-40.006548086684916
1.0710802165096092e-18,-41.377863986530194
6.795463552837881e-18,-39.53027640892005
3.2270456427991466e-19,-42.57754970988263
8.198222204829125e-26,-57.763295091369564
3.028036684698783e-20,-44.94378740922098
4.521909659013238e-21,-46.845352557322855
1.8226595408743011e-19,-43.14882004624317
4.377545560420459e-22,-49.18038385288226
8.807618766381656e-21,-46.17866983704551
8.334809774406935e-26,-57.74677172440954
1.3533374442366059e-20,-45.74912813732674
4.966077522419423e-20,-44.44907156228057
9.780680693276331e-23,-50.67904805669884
1.5282600502615786e-26,-59.44308255161976
1.782936079423834e-19,-43.17085527866317
1.066998524801537e-21,-48.2894373631228
1.2765330820790994e-20,-45.807553986278315
1.219447431450634e-20,-45.85330402877774
4.442514060519239e-21,-46.86306650683178
4.224535701307429e-21,-46.91337759128619
5.947437485009339e-21,-46.57132650087278
9.739090000577238e-22,-48.38072436167818
3.2641444540777206e-17,-37.96094888801221
3.827121660527071e-26,-58.52509942185542
1.0972683004008594e-18,-41.35370794602158
3.1885102859030586e-18,-40.28697786118691
7.823794859610085e-21,-46.29711723986116
3.710835368873078e-21,-47.043029934789715
2.8923254042993227e-23,-51.8973963221206
3.4148908657555365e-18,-40.21838613869975
3.2007504356998847e-21,-47.19090165940651
1.9996591278020862e-20,-45.35872512994581
9.45592631099647e-17,-36.897304913095724
3.0800185804439757e-22,-49.53193641629003
6.793215516978291e-24,-53.34611783581847
9.456603744512222e-21,-46.10757364647949
7.991455435110125e-21,-46.275914052600235
9.304383203789457e-23,-50.72897153750113
1.1498654646904236e-21,-48.21464200456906
3.650227711075841e-21,-47.059497400630406
1.9838150250716388e-24,-54.57702046067173
2.3883349833744914e-20,-45.181105396393555
4.3943681351828485e-20,-44.57137810809367
3.86953888366783e-23,-51.60632179042748
9.06362449772028e-18,-39.242262578902555
1.9749401535564167e-19,-43.068578670989645
1.9847687350049213e-24,-54.57653983080008
4.632519401890473e-22,-49.12377117848874
5.820066780620385e-20,-44.29039012387
2.7212599056851556e-19,-42.748021793203705
2.080671659823081e-19,-43.01642601192246
4.742613451708224e-22,-49.10028370098584
5.893167242910148e-18,-39.672738088512695
6.256754952104796e-23,-51.12579546641353
3.969517931842317e-16,-35.46271682832611
6.974328015679211e-17,-37.20171059967063
4.906699575590197e-24,-53.671440700265265
1.3356942925021258e-22,-50.36742081991598
1.0287149075328075e-21,-48.32597659220189
1.7789631650794978e-23,-52.38342643580153
2.1786243413656166e-21,-47.575593311331836
5.324040652118894e-20,-44.37946932374255
4.999750412492244e-25,-55.95523933116452
2.7119279118505344e-23,-51.96179735031424
9.029998261186408e-22,-48.456319870999785
4.0483267515740344e-19,-42.350813118896966
1.0278997326465661e-23,-52.931939512923066
4.9862373712751815e-21,-46.74760536135061
1.2307698926816213e-18,-41.2388917713109
1.3715941460626205e-19,-43.43314309325186
3.9418544146091764e-20,-44.68005058369205
6.650860147611573e-20,-44.156955668072065
1.438590110721395e-21,-47.990623408685344
1.1684613669525771e-21,-48.19859914051069
8.2126958718330025e-25,-55.458946090873326
3.5093537831203563e-23,-51.70402522570824
3.684440350768169e-19,-42.44499812502677
7.237956323776007e-24,-53.2827033410283
3.3846533955030414e-23,-51.74020563197985
1.4762514718843807e-21,-47.96478086730326
2.61508378455333e-21,-47.392990815889185
3.2041444946476506e-22,-49.49242691947515
2.4873379658648644e-20,-45.140488811302774
5.028575523614733e-18,-39.831394925989215
7.497278051979538e-20,-44.03716183161511
5.088345572179461e-27,-60.54284476804739
2.907684198717606e-20,-44.98434490352162
2.7148241511180958e-21,-47.35555977097229
6.113939236332922e-20,-44.241130574909
1.298702520041927e-18,-41.185165969326576
1.7249207408810708e-20,-45.50652075776852
7.890555023787306e-18,-39.38086519628895
1.0954062964828427e-23,-52.868331797399215
4.326704539722855e-20,-44.58689568390857
8.171380714312517e-18,-39.345893781219615
9.033229404636587e-23,-50.75854720473347
2.678004778155698e-24,-54.27697020036428
6.771196866963069e-19,-41.836438905785634
5.639325711826078e-21,-46.624522449153
2.4490630692503402e-20,-45.15599632917988
3.0579260782128885e-22,-49.53913511190059
1.484423970910277e-20,-45.6566750612552
3.0289257668227676e-22,-49.548664021610925
1.5225576872579852e-20,-45.63131025017218
5.62881495981843e-27,-60.44189857755383
3.3048726983710713e-24,-54.06664427718603
3.912571712419915e-21,-46.99009206812366
3.871594609867561e-21,-47.00062048680661
1.2966440578156695e-21,-48.0945075201966
1.0783118976268551e-21,-48.278890192340924
3.0611988105875435e-22,-49.53806543845997
2.5788744216382146e-23,-52.01210410580613
2.0250854438722753e-18,-40.740919779719654
1.6730916542051564e-21,-47.839613748028285
1.0756358791809134e-23,-52.88654513664263
3.639130877629498e-22,-49.365127162612424
1.3812944686730175e-22,-50.333850965588915
5.925386235227726e-20,-44.27245598760412
1.4050457595224572e-22,-50.316802174558525
6.513729740372368e-19,-41.875204549936754
1.2409141274974368e-21,-48.138438645261466
1.0558841207129337e-21,-48.29990850778548
7.996397220540149e-23,-50.88046604605256
5.1552192258895795e-24,-53.62203258844672
8.360987386489989e-23,-50.83588061030886
2.208367102861852e-21,-47.56203357792573
4.212802741942076e-18,-40.00840351327334
1.6605624091721418e-23,-52.4523007931685
1.0159511770426472e-19,-43.7332914729771
6.078262154929397e-19,-41.94439794154725
2.3794555355256124e-21,-47.48741525794851
1.5168656029989608e-18,-41.02988557138719
1.0092612863467441e-20,-46.042483196287655
5.624018987359996e-22,-48.92982551523548
8.106879420348561e-21,-46.26157394050306
4.7755016637978054e-20,-44.48820283098547
2.6524064499122723e-20,-45.076234537644446
4.0178606175507393e-20,-44.660952283599386
2.8619432146047807e-20,-45.00020102010185
5.689275277117229e-19,-42.010533894678304
1.824624007146333e-19,-43.14774282455963
1.2080121164204544e-21,-48.165310823263255
1.1252199135372962e-21,-48.23630845762223
7.977476682564392e-28,-62.3957604475674
1.0977646427035037e-19,-43.655840797683524
7.405706213776728e-23,-50.95720632583564
5.007034763304887e-23,-51.348613262598484
2.113121324809909e-21,-47.606120797616846
1.4564106893362926e-16,-36.46538651105176
2.6507649744984563e-23,-51.98460887089991
1.2333952949200162e-19,-43.53934599804241
2.573533526053762e-19,-42.803836899445564
1.7873168270214944e-19,-43.16840125094527
2.591700826932311e-22,-49.70455769574879
4.827227174283469e-20,-44.47742964106503
3.6999467894628155e-17,-37.83562814257828
1.6179815531628525e-21,-47.87310753531548
1.700030840884412e-22,-50.12622565327467
3.035305159579661e-23,-51.84914517259236
5.0978441317315095e-21,-46.72546922178398
8.364306876821222e-21,-46.23031348178303
1.8583994110091497e-18,-40.82681608835318
4.617540475692471e-19,-42.21925456811829
1.1034831721230107e-24,-55.16357053480742
1.5514055613880736e-19,-43.309955433064204
3.2486025660582247e-19,-42.57089184268738
4.286709766838096e-22,-49.201352561305846
3.968360382159767e-21,-46.97593394545954
3.305134758414408e-21,-47.158809706298335
3.431895449904968e-21,-47.12117423502766
9.706519982890842e-20,-43.77890403698744
3.1380582710643047e-21,-47.210682729245036
7.635186712899748e-21,-46.321519559637665
2.619507359755591e-19,-42.786130497421475
1.1550999443644433e-21,-48.2101000807276
1.0352721708253017e-19,-43.714452407758316
9.172954430265186e-22,-48.440612627165315
1.9914439796928764e-20,-45.3628418663418
5.063445361310694e-20,-44.42965470684494
4.889474382895321e-19,-42.16203195733782
6.158610644714807e-20,-44.233850652463666
2.9767229300844934e-19,-42.65829375936105
8.540691121846997e-24,-53.117200299714334
1.6317094077465116e-21,-47.86465877116628
4.9729546691049776e-17,-37.5399324166099
1.3456553760061189e-20,-45.75482069709778
9.002560637755099e-23,-50.76194808668751
2.0221221587361974e-22,-49.95272451229039
1.6555009931597591e-23,-52.45535346094278
4.2507465531574686e-23,-51.51236251178659
4.881858613138787e-17,-37.55842057019564
7.617003908756141e-20,-44.02131875532823
1.5321387634637812e-16,-36.414696844014664
5.808334805333369e-24,-53.502748310449654
1.7350041324271456e-21,-47.80327715767658
2.910984629886317e-22,-49.588380661131026
3.044851787881658e-23,-51.846004912816305
1.1048108961806965e-24,-55.162368046210695
1.1645276466286884e-25,-57.412311773589586
7.947321187787032e-22,-48.58403713149676
2.503411235360259e-24,-54.34438793591501
4.794559233993642e-22,-49.08939026376211
1.63644307678236e-23,-52.466932108021055
8.597455882259424e-24,-53.11057590000752
1.7685062831620858e-19,-43.17898148440983
6.672708811096769e-20,-44.15367596379201
1.4257721164723848e-22,-50.3021585427676
6.793887048867529e-23,-51.04343389439275
9.601420952657639e-25,-55.30271622142878
3.3688807799415654e-20,-44.83712128345529
3.52656325406996e-17,-37.8836227666092
1.1540190034668257e-19,-43.605866131460964
1.8564117827558934e-18,-40.82788619842838
7.911547991240761e-19,-41.680793303718026
6.598345189346569e-22,-48.77005315716126
8.942341521853496e-22,-48.466074575781235
2.2635240393512567e-23,-52.14253423059206
8.043207344606545e-20,-43.966873932780324
2.845950338603488e-19,-42.70321971691345
1.1398180689184417e-19,-43.61824810588413
1.2248564585230873e-23,-52.75663347844794
5.379845891447895e-21,-46.671627223823826
1.9004176512842194e-18,-40.80445799541115
2.9340200283232617e-22,-49.580498539885475
3.00147116814778e-23,-51.86035458101392
3.376201493591888e-20,-44.83495060080741
4.3382342645122163e-23,-51.49198972503215
5.0052430436611496e-21,-46.743800981114724
1.3948460344097206e-21,-48.02150291329157
3.4797822905113227e-22,-49.40990231423749
2.4149639568974726e-23,-52.07777277655003
7.778143224091301e-19,-41.69779911732295
3.154752404024142e-16,-35.69245147232097
7.114835715494964e-24,-53.2998600904631
3.935346131337843e-19,-42.379117926665415
2.698403439813103e-20,-45.05904158035616
4.2971001669144496e-18,-39.98859125847698
2.849289795908841e-19,-42.702046998078345
6.589419478748881e-25,-55.67916207145388
3.7543980129929694e-20,-44.72877390363054
2.3163253096241052e-20,-45.21171984819285
6.918421531074641e-21,-46.42009931171056
8.124500108245551e-25,-55.4697431236671
9.977685321885285e-20,-43.75135072813267
7.01211337972742e-21,-46.40664781656174
4.3734759749639595e-20,-44.57614374933847
1.4516211862311228e-18,-41.0738506825536
1.2622149505590284e-21,-48.12141887793553
3.985928933384445e-25,-56.18185693227507
2.1712370309727755e-22,-49.8815749803832
2.323099963265287e-19,-42.90621428205488
3.423528064340512e-23,-51.72878552175946
6.378901920384845e-19,-41.89612079713563
3.2975913286811843e-17,-37.95075427933296
5.887261633953058e-22,-48.884081074148106
5.060836020941224e-21,-46.732755261693285
6.335892176656398e-22,-48.810641409074854
3.399768121525902e-25,-56.34092009510593
8.022548290072341e-22,-48.57461593255557
5.942628390995178e-23,-51.17730561329183
2.7095386900148327e-22,-49.66009365055411
1.225744740341838e-17,-38.940397970330146
1.1333349575207885e-20,-45.926537283821354
8.020259347231149e-21,-46.272316193959384
1.1394013460737554e-21,-48.22378396342326
1.6991359474759945e-23,-52.42933728320251
2.6508942347423965e-21,-47.37938992272669
5.217184240363194e-22,-49.00491420706739
1.05293199774433e-20,-46.00012320835447
3.1081433886073505e-19,-42.61509120011512
9.509838601070918e-17,-36.891619675981715
1.2481315844579279e-23,-52.73780943820946
3.5414561733674094e-20,-44.787163868906916
6.074343180283419e-19,-41.94504290197734
5.5142390902060606e-33,-74.27797439656777
1.1223197262479028e-21,-48.23888922536287
8.189048507455116e-19,-41.64631905312691
6.863138607578797e-21,-46.42812209279822
7.301660402762215e-21,-46.366185178150815
2.2162161922749047e-22,-49.86107072205176
3.2896281588681953e-21,-47.16351241610571
8.220157204022678e-25,-55.458037991388956
2.2724528995404064e-20,-45.230842039301045
2.3131920643692214e-24,-54.42341381514674
3.365941786615916e-23,-51.74574933777283
1.3821884452994214e-23,-52.6357890658673
3.4190478064193516e-23,-51.73009504572999
3.061394027978162e-21,-47.23541657595002
4.825787430111557e-22,-49.08289812644281
5.3657732052009665e-25,-55.88458683889168
1.1434243417031437e-22,-50.522844477369844
7.716030308120647e-23,-50.916157115869716
1.1306094796953521e-20,-45.9289450099981
3.2076029824085815e-22,-49.49134812212428
3.6948110997475643e-19,-42.442187337001236
8.123456283398134e-19,-41.65436105261204
6.754517674463933e-24,-53.35183066573828
8.590174106986373e-20,-43.90108285552364
4.2398301318793615e-20,-44.60717865467559
3.069385790919623e-20,-44.93022438640246
3.516557854845153e-19,-42.491634137861794
3.8714494405379547e-22,-49.30324307650833
1.1227311824639493e-20,-45.93593758725481
6.332778817212765e-17,-37.29820744941055
6.019160341718124e-26,-58.072264646372346
3.0954790013360976e-24,-54.132099571512676
1.0183588923901743e-21,-48.336094550324326
7.269867652662795e-18,-39.46279358709868
3.629970921961892e-23,-51.67023250109719
7.136433292731254e-22,-48.691658933161754
4.1578025673885386e-19,-42.324130061168916
5.0782299814010135e-23,-51.334494366846165
2.5189495999314564e-21,-47.430444963671526
1.0554497819030986e-26,-59.813245408214044
3.0220121160867556e-22,-49.55094917273239
4.904760373449364e-21,-46.76408071457816
1.2303742735942155e-21,-48.1469685423017
2.633236670997517e-25,-56.59641356193614
1.6330275970320009e-21,-47.86385123943849
2.0747414924274423e-20,-45.32186529592191
7.355088150919231e-21,-46.35889461372422
9.286177505222735e-20,-43.823174855106984
1.528151257776799e-19,-43.32505809035017
7.882156568410118e-24,-53.19744068923563
3.6009475083964486e-19,-42.46791975927821
6.048960457291502e-22,-48.85698561383098
2.9611842485119007e-16,-35.755772215624276
2.917455418673652e-19,-42.678404962485324
5.690336110757213e-19,-42.01034745006138
1.822937818686125e-21,-47.753837567093065
9.333381987059529e-20,-43.81810442548816
1.1392588509374374e-19,-43.61873884666374
1.25083563996408e-18,-41.22271983396194
1.5986962725793008e-20,-45.58251339242723
1.6997602624822951e-18,-40.91604445484444
5.104215333641699e-23,-51.32939040451738
1.0610064795599937e-21,-48.29506898623066
2.363522766245922e-19,-42.88896356325311
7.881331953167919e-22,-48.59237512669327
4.115542553010059e-18,-40.03176100082187
2.7836389362679705e-19,-42.72535772525798
3.8392583312348004e-20,-44.70642265484338
3.5013410027593705e-20,-44.7985558211208
1.1518295850820159e-20,-45.91035023816619
8.466204574115099e-19,-41.613034460880336
1.5356790958815415e-22,-50.22789935492288
6.778057544517258e-22,-48.743181482823864
1.534756428924791e-17,-38.71557489067523
1.8279719400028476e-20,-45.448494737074626
8.506460561339808e-21,-46.21346101204262
4.2838956506423374e-18,-39.99166887953061
1.3640979180912621e-24,-54.95154888755549
3.579208100598509e-21,-47.07914537788103
3.440361736618606e-21,-47.118710331024374
1.9918915179871067e-20,-45.36261716104326
1.684858055813956e-20,-45.53002053949799
1.434107432655575e-19,-43.38857410934582
3.8594750150597754e-23,-51.60892597109723
2.5320201485019837e-22,-49.727854584074514
9.299834028738273e-20,-43.82170530625318
1.0653330472330531e-18,-41.38324420321164
8.130804177031456e-21,-46.25862711944297
3.2439843844895124e-21,-47.17748463029259
1.5239143119958905e-22,-50.235589815909755
1.929326136951908e-19,-43.09194597677616
1.6408183781594638e-21,-47.859091824430635
3.9728022040411784e-20,-44.67223016932649
2.956598729779232e-23,-51.875417609000415
7.00873541972863e-21,-46.40712966471692
4.1896616356294085e-20,-44.61908188442746
5.820116418926533e-23,-51.198136874067785
4.741046045119681e-21,-46.79802915689084
7.201913174948251e-22,-48.68252533640115
5.8815980750374575e-19,-41.97728826043327
6.6051550199535566e-21,-46.46643654508472
1.2089071929136504e-19,-43.55939996171295
2.6479570054142393e-22,-49.6830836445521
5.517728791313907e-21,-46.64632062810401
5.864902548865319e-20,-44.28271599362276
2.909929435418865e-20,-44.983573027988484
2.3866297732400004e-18,-40.576649439847515
4.930314564791768e-21,-46.758884160610094
2.431771330661169e-21,-47.46566701841324
1.278138001811999e-18,-41.20112734112868
6.749246921023062e-23,-51.050026207458544
4.161922307677647e-22,-49.230894985136274
1.1050021350903506e-23,-52.85960987168674
2.4257666864563665e-21,-47.4681393190899
9.562003145563749e-25,-55.30683008568224
7.8688065141636235e-19,-41.68621036600033
3.064642502327305e-27,-61.049866586972534
1.3666237631502614e-24,-54.94969894012459
1.1379941184349649e-20,-45.92243469252496
4.903589457510925e-23,-51.36948965957548
7.517625802016804e-23,-50.94220676856759
2.0147679711088107e-18,-40.74602763593903
1.3612117563813873e-22,-50.348496745484304
6.453630905867752e-24,-53.39739932829342
5.379042673010076e-23,-51.27694672234257
9.864049551657658e-20,-43.762805070546335
2.1215114012853788e-20,-45.29957310007279
2.110193301443059e-21,-47.607507397524785
5.3307739733224175e-20,-44.37820542149055
3.262795658715246e-22,-49.47428765396525
7.140129771479189e-21,-46.38855600141144
3.5699277386708733e-22,-49.384326691550996
8.042988979526114e-20,-43.966901082154365
9.512825624958558e-19,-41.49647581301466
4.647391743045481e-22,-49.12056589911576
2.000956771984918e-18,-40.75290622173051
6.070992196297387e-25,-55.76110527411013
1.1230086555603544e-21,-48.23827556961465
1.0614416772878904e-20,-45.992073802905225
4.402217328529073e-20,-44.569593507588905
2.172273680582097e-16,-36.06558708981962
4.61747400219452e-25,-56.03477952205305
4.192499720698867e-20,-44.618404711784926
7.916769623092415e-21,-46.285303706124786
6.737163659373558e-22,-48.74923303156663
1.2826180643826045e-19,-43.50021341506302
5.498362270473281e-21,-46.64983667398339
9.811775053482508e-20,-43.76811865940151
3.571865738283172e-19,-42.476028691845784
1.061037857042033e-21,-48.295039413349926
1.4988613301295142e-21,-47.94958124628614
2.460025908427297e-20,-45.151529978111085
2.448978677947565e-19,-42.85344569538693
9.672057741204973e-18,-39.17729059066381
3.0644157119000235e-22,-49.53701512698626
1.0574189178766274e-20,-45.995870904284885
3.731629194805222e-25,-56.24778240510754
3.7875504309449254e-20,-44.71998237403311
1.224206842810266e-19,-43.54682360784973
6.044075412298395e-23,-51.16037861731359
5.715323899432516e-21,-46.61113598191788
1.1340872645318396e-20,-45.92587370468613
7.294677472524875e-29,-64.78782272795814
5.2968631863103106e-20,-44.38458706617572
2.8986293065746474e-23,-51.89521916651151
2.0986539987241347e-21,-47.612990766632265
8.224417908537604e-23,-50.85234961571447
4.723759035133698e-24,-53.709437343473745
3.0744399311162375e-20,-44.928579111433606
1.7536192554012876e-20,-45.49002006167164
1.4533764008491152e-19,-43.37522736502132
1.6638416857445847e-18,-40.937402476798475
4.134504664701234e-25,-56.1452597944334
1.0487557426609462e-21,-48.306682498371046
3.1297826886492454e-22,-49.51590847227379
1.108147870501668e-18,-41.34384163734088
2.9297749157204395e-22,-49.58194644636411
1.1045618152240206e-19,-43.64966805787141
1.4034252787752596e-18,-41.10761579769565
9.433148496937573e-20,-43.80747193805601
3.0228771736277837e-19,-42.642907682537626
1.4843276917001242e-22,-50.26191010899067
1.129593539616513e-19,-43.6272588983244
2.4600853581326983e-21,-47.454090905104735
3.810149136863029e-21,-47.016618620968835
6.444666927578839e-19,-41.8858638110276
1.9215537165777534e-22,-50.00373795969302
6.039199429001867e-22,-48.858600587574365
1.4798765090723612e-21,-47.9623283083962
