L,logL
2.0286269766068855e-13,-29.226247010911216
1.3914995793730227e-16,-36.51097948820409
3.060409305955829e-20,-44.93315319274542
3.3621395678137407e-16,-35.628783940450475
1.3023045244173514e-12,-27.366885709768646
2.7985492981894007e-18,-40.417430498765384
4.0029530484510215e-15,-33.15174404405946
3.3504133959377207e-13,-28.724522468926537
1.9629190865608565e-15,-33.86434369974208
9.718746661043011e-12,-25.356964450107377
1.6692723543571574e-15,-34.0263885793876
5.192695313357457e-17,-37.49669369032531
1.1229328700823073e-15,-34.42283249824984
1.0547800924158778e-20,-45.99836955788789
5.341674325035565e-15,-32.86323724706908
1.8978202096621787e-16,-36.200655518409185
5.500451487924238e-14,-30.531361124333813
2.711410462494434e-16,-35.843892522543406
1.170950549164384e-16,-36.683545633758655
1.1678561259804382e-18,-41.29136197688532
4.0147559414242337e-16,-35.451384929047435
1.1171527713166289e-19,-43.63833348684424
1.3895592205586382e-18,-41.11754508455121
1.4236849320113264e-20,-45.698453326981785
3.279122893353139e-15,-33.35120041883828
2.8383711276220915e-18,-40.403301332872424
5.8946755797014744e-12,-25.856971616583113
8.841234097770862e-18,-39.26710520316674
4.874736599539771e-19,-42.16505069476041
1.6220455377098724e-14,-31.7525032715806
6.240400496588312e-17,-37.31290221843146
1.0002024803810942e-11,-25.328233563049793
1.648550490793651e-16,-36.341465076519185
9.714092200993693e-18,-39.17295403845638
2.1219349614705145e-13,-29.1812778188374
5.914515775823529e-14,-30.458781671603408
2.1596364814176306e-14,-31.466251390023853
5.297100569790326e-18,-39.779372065331636
2.3523299877096208e-21,-47.49888063178289
2.5554418320649783e-15,-33.60055125780424
1.4165242460838753e-16,-36.493155330866294
2.299280856770171e-15,-33.706179991836834
4.778366480075659e-15,-32.974677647383885
4.003989624905203e-18,-40.05924040362572
4.479192804209763e-20,-44.552259007319705
2.4074260583343423e-16,-35.96280333673532
4.7902559269726167e-20,-44.485118020454784
5.516599115463548e-15,-32.83101482676177
2.8648769626672845e-18,-40.394006269616064
1.3449248256751845e-16,-36.54502336810423
1.495300797516839e-10,-22.623523540983886
7.154446349304554e-15,-32.571042364448346
1.4926727981435653e-19,-43.348548429653334
3.370328942600746e-16,-35.62635113922358
1.623701808801023e-17,-38.65923797128894
8.431666217140783e-14,-30.104196896154853
2.043359958569533e-14,-31.521595810426483
6.990893497899206e-14,-30.29158292867545
9.931206198284848e-17,-36.84826464009927
2.8778731904324023e-18,-40.38948012809666
3.2016305148794147e-19,-42.58545655095071
7.860202968407874e-14,-30.174378872856273
1.6102238609324145e-15,-34.06240318152264
4.23420434978261e-20,-44.60850642433136
1.4350828178603524e-17,-38.782724020557836
