KS,AD,pKS,pAD,L,logL
0.41808008393075713,12.146109010478957,8.481534941663698e-05,0.0001,1.4689664793707062e-09,-20.338706758687103
0.1476656758174506,-0.5377984826021108,0.5458573370270857,0.6566,9.70766010098014,2.272915274991435
0.1932155971323658,0.7196538381454,0.23161118546539963,0.1673,0.000822913758154034,-7.102659152384296
0.2347001223990208,0.1426729250116899,0.08518163281688426,0.3067,0.0005827998920493563,-7.4476666688708395
0.09499038293407938,-0.9158984025345891,0.9475264382682336,0.9366,0.601237692152423,-0.5087649282042491
0.14827767092148977,-0.5716460873805738,0.5405492131652512,0.6832,0.9888825259325238,-0.011179735069083763
0.1723203357230285,-0.21651746951907416,0.35498516285481363,0.4603,0.014439723786366947,-4.237772274068348
0.2197936702220668,0.03888984664038342,0.1248955132723852,0.3414,46.77697999741535,3.845391201513646
0.22783703444658157,1.1155920607887047,0.10182772302255527,0.1102,0.00022765752318952255,-8.387668149553942
0.2271813254065396,1.5231174232192253,0.10354295986757972,0.0739,0.009346442956755479,-4.672759440496887
0.11588564434341668,-0.8084813993863117,0.8187170515149979,0.8618,2.2145339981967,0.7950419968018536
0.17695401293932506,0.2547123533913412,0.32461242999943013,0.2737,1.7634399188937615,0.5672664008727499
0.15229935303374717,-0.4073110904790571,0.5069229017507202,0.5599,0.0007446455163716059,-7.202602269772386
0.2309407239027802,1.5221676812443554,0.09401403760720108,0.0763,0.1078646427916232,-2.2268781453895548
0.11418080083930757,-0.6071026750444102,0.8316965609114404,0.7066,28.42764241746852,3.347361996352701
0.2519671271201259,2.0897473931038113,0.05294459347526058,0.045,0.000446634842214901,-7.713769204998352
0.1666375240426648,-0.40379833530909237,0.39493210309188703,0.5569,0.2366403830400576,-1.4412136613594564
0.18053855569155447,-0.21212686548980636,0.30207822626527675,0.4633,5.870560274526643,1.7699500763936775
0.19387130617240778,0.09270988195931064,0.2284840321800655,0.3177,150.5203668093245,5.014098402669679
0.20611120825319112,1.256986710765574,0.17347634223835257,0.0975,0.00790764077140198,-4.839925800679005
0.20169610071690855,0.9103035295137641,0.19181435573533143,0.1355,0.002738264251815168,-5.900431044057386
0.1819811155796468,0.00785109628545042,0.2933419520217747,0.3539,19.29209372099793,2.959695360218869
0.1307920965203707,-0.7429630359574442,0.6935873970576741,0.8141,1.7613356378590546,0.5660724063895168
0.21502885119776186,0.36291822586068934,0.1403218733976911,0.2352,0.001850547895329802,-6.29227352410078
0.12576499388004897,-0.9181347251948256,0.7375310858870996,0.9333,4.49941306284265,1.5039469577900693
0.23351984612694526,3.4698268459950143,0.08778662602555595,0.014,0.002275766500546507,-6.085438360007993
