# id redshift galex.FUV galex.FUV_err galex.NUV galex.NUV_err sloan.sdss.uprime sloan.sdss.uprime_err sloan.sdss.gprime sloan.sdss.gprime_err sloan.sdss.rprime sloan.sdss.rprime_err sloan.sdss.iprime sloan.sdss.iprime_err sloan.sdss.zprime sloan.sdss.zprime_err panstarrs.ps1.g panstarrs.ps1.g_err panstarrs.ps1.r panstarrs.ps1.r_err panstarrs.ps1.i panstarrs.ps1.i_err panstarrs.ps1.z panstarrs.ps1.z_err panstarrs.ps1.y panstarrs.ps1.y_err cfht.megaprime.u cfht.megaprime.u_err cfht.megaprime.g cfht.megaprime.g_err cfht.megaprime.r cfht.megaprime.r_err cfht.megaprime.i cfht.megaprime.i_err cfht.megaprime.z cfht.megaprime.z_err ctio.ls.g ctio.ls.g_err ctio.ls.r ctio.ls.r_err ctio.ls.z ctio.ls.z_err 2mass.J  2mass.J_err  2mass.H  2mass.H_err  2mass.Ks  2mass.Ks_err wise.W1 wise.W1_err wise.W2 wise.W2_err
PTF09as 0.1866 0.0016369199206949943 0.00021107225483776824 0.002120840460571082 0.0003320722627808128 0.0023003616110105736 0.00016949690732827888 0.004210719724696763 0.00042660378062996134 0.007431982939813237 0.000684510925144001 0.007555349971580968 0.0010438101730149195 0.012057023562986973 0.003997774471969693 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.030521598791539005 -2.7830317043130153 0.028865856167929086 -2.632057168307836 nan nan nan nan
PTF10eoo 0.291 nan nan nan nan nan nan 0.000634868014388221 -0.057888769987582266 0.0008487175978584323 0.000844233619243914 0.0005338988242436991 0.0009490562498280953 0.002923496407043344 -0.2665713301526745 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
PTF10tpz 0.039934 nan nan 0.14503398803191603 0.018701373533906936 0.22568017937643356 0.03325746027624949 1.164574126942272 0.3217837229260597 2.3323742412720776 0.644458819108366 3.4952031581812926 0.9657603226816744 5.838620898428334 0.5915325435520418 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 7.673614993668732 0.7774426657270778 9.442568202181857 0.9566619384046353 10.0451455385539 1.0177113044573136 5.307479845718554 0.5377206548611867 3.4400980364573304 0.3485292121161284
PTF12gty 0.1766 nan nan nan nan 0.0007715796646197401 0.0006537990428423594 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0008097156783335034 0.00011186635502965722 0.0012428079750871814 0.00017170026701339157 0.0002942260767490626 0.00039564865772282793 nan nan nan nan nan nan nan nan nan nan
PTF12hni 0.106 0.019716454871239356 0.005629453069077492 0.033886882213984025 0.005305865228709599 0.03586152575193715 0.004624156018072224 0.07674201987315908 0.004240920743188534 nan nan 0.14158782559597205 0.007824432397601425 0.23564858358655905 0.019533632967056604 0.08176174652716976 0.0037652675746123764 0.09657829197766661 0.005337113649950438 nan nan 0.12836180237167316 0.007093535343620697 0.14265036381702656 0.014452442454351556 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.08522141014556375 0.025117382221453648 0.04831113855991678 0.017353519165886937 0.00884223719154908 0.008144001418391379 nan nan nan nan
iPTF13bdl 0.402 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.0206082880991353e-05 1.5416245540558863e-05 4.155444912128332e-05 3.4063025213551755e-05 0.000185193907107463 -0.016886419300831148 0.00042830499095409294 -0.03905386402206342 0.0006562168940115002 -0.05983541142170068 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
iPTF13cco 0.3183 nan nan nan nan nan nan 0.002091272948418108 0.00026965869931891754 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0024468569687003784 0.00027043662627926834 0.0022411693770342735 0.00020641932793735485 0.0028378152781158837 0.000522744892484831 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
iPTF13duv 0.154 nan nan nan nan 0.02193556730251366 0.002424408493302507 0.04591009336245979 0.002537085518264755 0.08083764940202769 0.004467253595178911 0.11151631246954548 0.008216825558977327 0.12654254350372157 0.010489499074843913 0.04629602024496192 0.0025584126259439966 0.07240281855284895 0.004667982219335197 0.09633177606511314 0.006210739123376765 0.1079900974914165 0.005967753328193024 0.09284356599964026 0.014537054351480274 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.11427030333039351 0.04946601423984873 0.10886241783354847 0.016042558751412344 nan nan
iPTF14dek 0.3322 nan nan nan nan 0.012699541516710386 0.007134993096153665 0.006250169127242513 0.0011513237008864174 0.002588375966727342 0.001954865540464541 0.020718818812927555 -1.8891909963864264 0.05090978058035145 -4.642074433335834 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
iPTF14gik 0.1237 0.03125752441793629 0.005469956342416449 0.050857508892305295 0.006089394575796185 0.07603499956214047 0.006302774035353363 0.19356446158512988 0.008913972875586776 0.3005861928675454 0.013842505737132865 0.41682480217077006 0.019195491517372147 0.44542549551345745 0.02461512254421056 0.20621142901957867 0.009496387249309634 0.2898468196742866 0.013347939324674915 0.421269697362676 0.01940018650554822 0.4625977806902374 0.02130341507738939 0.5186890628013237 0.028663816893729127 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.477477606016252 0.14952286322780484 0.6256005694950783 0.5589134356493257 0.6407968058770377 0.2832939211873279 0.4799934871448997 0.04420903392936301 0.35058536392425194 0.03229010531175501
