# id redshift galex.FUV galex.FUV_err galex.NUV galex.NUV_err sloan.sdss.uprime sloan.sdss.uprime_err sloan.sdss.gprime sloan.sdss.gprime_err sloan.sdss.rprime sloan.sdss.rprime_err sloan.sdss.iprime sloan.sdss.iprime_err sloan.sdss.zprime sloan.sdss.zprime_err panstarrs.ps1.g panstarrs.ps1.g_err panstarrs.ps1.r panstarrs.ps1.r_err panstarrs.ps1.i panstarrs.ps1.i_err panstarrs.ps1.z panstarrs.ps1.z_err panstarrs.ps1.y panstarrs.ps1.y_err cfht.megaprime.u cfht.megaprime.u_err cfht.megaprime.g cfht.megaprime.g_err cfht.megaprime.r cfht.megaprime.r_err cfht.megaprime.i cfht.megaprime.i_err cfht.megaprime.z cfht.megaprime.z_err ctio.ls.g ctio.ls.g_err ctio.ls.r ctio.ls.r_err ctio.ls.z ctio.ls.z_err 2mass.J  2mass.J_err  2mass.H  2mass.H_err  2mass.Ks  2mass.Ks_err wise.W1 wise.W1_err wise.W2 wise.W2_err
PTF09as 0.1866 0.0017182448232915027 0.00022155867530861137 0.002231386491828872 0.00034938109454995403 0.0023657450787366308 0.00017431453926793574 0.004300358259061612 0.00043568539616136023 0.007544397848199175 0.0006948647208351911 0.007638168183624488 0.0010552519318437093 0.012129540244491754 0.004021818991464682 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.03061135582307294 -2.7912159631439515 0.028919566202698012 -2.6369545765538 nan nan nan nan
PTF09awk 0.0616 0.03436187668745014 0.008228599082893522 0.04202726928923024 0.0038708545505851217 0.08349534506320551 0.004614123285046344 0.21247762133074524 0.009784956069420156 0.28994559522204527 0.013352488106751343 0.3734271515906404 0.017196955851436727 0.3952882168662754 0.0218444341342196 0.2141865480815397 0.009863655054648115 0.2744853583332325 0.012640517886864605 0.3705289590175773 0.017063489151129506 0.38142783792188156 0.017565401073037473 0.40465006025150824 0.022361788718742368 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.538347851620864 0.054542036471453156 0.4790326373607392 0.03970848275440059 0.3721888567633994 0.044563818694818784 nan nan nan nan
PTF09axi 0.064 nan nan nan nan 0.032929645928679974 0.004246105462645233 0.1178232870711353 0.006511155466021301 0.15335776975719764 0.008474863548905674 0.19317588916684575 0.010675294145314776 0.20020480247619732 0.020283498124010414 0.10639253552703026 0.006859380256690621 0.14649751350088194 0.009445043740939093 0.17961036709036912 0.009925635691427334 0.18375420046856134 0.016924387310957953 0.17815769725686476 0.03281786063246424 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
PTF09bcl 0.06 nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.9466452299988557 0.8247461969815729 3.5438581284603927 1.3382457233177032 5.021300688896528 1.8499155381910206 5.998694377505119 1.2707503910984845 7.3107022315507715 1.6160173418579629 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 9.967190733221356 0.642608534437629 11.347357782349084 0.7315911924861954 10.470356788490074 1.0607910482182752 5.82682373252579 0.5366702986407125 3.49534703910492 0.3219333594833546
PTF09bgf 0.0318 0.05612263778958931 0.014990349301842265 0.05775661545452747 0.005851538957764918 0.09590388020446494 0.013249610695145264 0.20158724989630455 0.0129968103033691 0.24257023278719553 0.013404926448477406 0.28115209824144116 0.020716052168791677 0.2603265981500725 0.04555623495997583 0.19045387650713216 0.021049740333516066 0.21933068394103641 0.022221212784268037 0.2321334205503168 0.02138027814979509 0.30572541945780796 0.030974186909287615 0.3359828607395027 0.04951226410497749 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.15052948210822256 0.020796416493510432 0.07465208676416966 0.012376280314373414
PTF09bw 0.147 nan nan nan nan nan nan 0.015819093346230943 0.0017483908091382079 0.03207914012543733 0.0020682185957691763 0.03838289962145532 0.0031816761297929937 0.03442519461859444 0.010463236073689663 0.01732458252172024 0.0014360877164468961 0.029270122091296792 0.0016175267231408569 0.0357068429414027 0.002302105239693099 0.0418173025620515 0.0042366674903784665 0.04645506191795964 0.006418003983984555 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.03883735188450742 0.0067963993700479565 0.02232559015025097 0.00596316224438246
PTF09cjq 0.01929 0.9499107200355663 0.09623901159968197 1.3759650046638374 0.1267310603288174 4.404367150929609 0.2839600440824889 14.76255161024216 0.8158087505351721 27.258343210894523 1.5063517136909084 37.03701352177216 2.0467410053820356 44.19286195900177 2.4421878039249867 14.428196852349105 0.6644430198200534 25.601049163992524 1.1789718834003373 33.64664544395482 1.549485284570128 36.15628316539939 1.6650583726944042 44.61238686302997 2.465371606888709 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 57.33592953361334 3.696583985837544 64.31799089670281 4.14673411740209 55.76213700275719 5.649470878305778 30.810253691337827 2.8377292344415705 16.866190027664874 1.7087768602654627
PTF09ct 0.156 nan nan nan nan 0.012630115848270276 0.0026755363157013787 0.03014204153345296 0.0019433292342054132 0.061847315025969886 0.0034178089348921178 0.08101289805149432 0.0052230945590212826 0.10085696574929559 0.012076050784664833 0.035502151660356904 0.0022889083051058456 0.05857036692824214 0.0032367180907238837 0.08272561434782061 0.0038096553281213217 0.09454359595350592 0.006966229589779038 0.12460109296250887 0.006885710861429718 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.11122721381750998 0.012293285974630072 0.08268385845036888 0.00913855775515436
PTF09cu 0.05692 0.11889113917283953 0.01095027858993843 0.16649804299000745 0.01533503647205892 0.37605693403702806 0.017318061808614123 1.1078569867289556 0.05101869965622792 1.8475596588252503 0.08508326657656375 2.480853814903632 0.11424754024189025 2.9500614092563744 0.16302641818489763 1.1698842241133556 0.05387515949944636 1.8143916896636951 0.08355582514943807 2.48315773192179 0.11435363954152038 2.7591403175609677 0.12706310729389486 3.3981910244222155 0.18779097590353822 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 3.6359699941417434 0.23441964859836398 3.5225361327434017 0.22710629728605988 3.713707298973293 0.3762495909197998 nan nan nan nan
PTF09cvi 0.036 nan nan nan nan nan nan nan nan nan nan 0.01717394018653964 0.002056311850397873 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.007670068650250484 0.0005651515435618473 0.007280503657764136 0.000871726917976529 0.016302005487236527 0.001201176154266175 nan nan nan nan nan nan nan nan nan nan
