        id  redshift              galex.FUV          galex.FUV_err             galex.NUV          galex.NUV_err      sloan.sdss.uprime  sloan.sdss.uprime_err      sloan.sdss.gprime   sloan.sdss.gprime_err      sloan.sdss.rprime  sloan.sdss.rprime_err      sloan.sdss.iprime  sloan.sdss.iprime_err     sloan.sdss.zprime  sloan.sdss.zprime_err       panstarrs.ps1.g    panstarrs.ps1.g_err        panstarrs.ps1.r    panstarrs.ps1.r_err      panstarrs.ps1.i   panstarrs.ps1.i_err      panstarrs.ps1.z   panstarrs.ps1.z_err       panstarrs.ps1.y   panstarrs.ps1.y_err        cfht.megaprime.u    cfht.megaprime.u_err       cfht.megaprime.g    cfht.megaprime.g_err       cfht.megaprime.r    cfht.megaprime.r_err        cfht.megaprime.i   cfht.megaprime.i_err       cfht.megaprime.z   cfht.megaprime.z_err              ctio.ls.g          ctio.ls.g_err              ctio.ls.r           ctio.ls.r_err              ctio.ls.z           ctio.ls.z_err              2mass.J           2mass.J_err               2mass.H          2mass.H_err              2mass.Ks          2mass.Ks_err              wise.W1           wise.W1_err              wise.W2           wise.W2_err 
   PTF09as    0.1866  0.0016369199206949943  0.0002671077779286497  0.002120840460571082  0.0003940198349072325  0.0023003616110105736  0.0002857373566896054   0.004210719724696763   0.0005994100363251186   0.007431982939813237  0.0010103954229994541   0.007555349971580968   0.001288554542586429  0.012057023562986973   0.004175633951954695                   nan                    nan                    nan                    nan                  nan                   nan                  nan                   nan                   nan                   nan                     nan                     nan                    nan                     nan                    nan                     nan                     nan                    nan                    nan                    nan                    nan                    nan                    nan                     nan                    nan                     nan                  nan                   nan  0.030521598791539005  -2.7830317043130153  0.028865856167929086    -2.632057168307836                  nan                   nan                  nan                   nan 
  PTF10eoo     0.291                    nan                    nan                   nan                    nan                    nan                    nan   0.000634868014388221   -0.057888769987582266  0.0008487175978584323  0.0008484890214203268  0.0005338988242436991  0.0009505568078147966  0.002923496407043344    -0.2665713301526745                   nan                    nan                    nan                    nan                  nan                   nan                  nan                   nan                   nan                   nan                     nan                     nan                    nan                     nan                    nan                     nan                     nan                    nan                    nan                    nan                    nan                    nan                    nan                     nan                    nan                     nan                  nan                   nan                   nan                  nan                   nan                   nan                  nan                   nan                  nan                   nan 
  PTF10tpz  0.039934                    nan                    nan   0.14503398803191603   0.023666219573458165    0.22568017937643356    0.04019171677920844      1.164574126942272      0.3422091368031963     2.3323742412720776     0.6853662273121172     3.4952031581812926     1.0270625356013219     5.838620898428334     0.8311472132160398                   nan                    nan                    nan                    nan                  nan                   nan                  nan                   nan                   nan                   nan                     nan                     nan                    nan                     nan                    nan                     nan                     nan                    nan                    nan                    nan                    nan                    nan                    nan                     nan                    nan                     nan    7.673614993668732    1.0923647601435156     9.442568202181857    1.344181165959661      10.0451455385539    1.4299600652212285    5.307479845718554    0.7555375078653804   3.4400980364573304    0.4897094615204663 
  PTF12gty    0.1766                    nan                    nan                   nan                    nan  0.0007715796646197401  0.0006583361908706921                    nan                     nan                    nan                    nan                    nan                    nan                   nan                    nan                   nan                    nan                    nan                    nan                  nan                   nan                  nan                   nan                   nan                   nan                     nan                     nan                    nan                     nan                    nan                     nan                     nan                    nan                    nan                    nan  0.0008097156783335034  0.0001380958948883426  0.0012428079750871814  0.00021195919022744204  0.0002942260767490626  0.00039674116272485127                  nan                   nan                   nan                  nan                   nan                   nan                  nan                   nan                  nan                   nan 
  PTF12hni     0.106   0.019716454871239356   0.005964740378578281  0.033886882213984025    0.00629566626236444    0.03586152575193715   0.005851778291429203    0.07674201987315908    0.008768054795228542                    nan                    nan    0.14158782559597205   0.016176923870581478   0.23564858358655905   0.030608256506295742   0.08176174652716976    0.00900150386658579    0.09657829197766661   0.011034421005459306                  nan                   nan  0.12836180237167316  0.014665802628981503   0.14265036381702656   0.02030675640932455                     nan                     nan                    nan                     nan                    nan                     nan                     nan                    nan                    nan                    nan                    nan                    nan                    nan                     nan                    nan                     nan  0.08522141014556375  0.026523758729308705   0.04831113855991678   0.0180134474360229   0.00884223719154908  0.008191862467612413                  nan                   nan                  nan                   nan 
 iPTF13bdl     0.402                    nan                    nan                   nan                    nan                    nan                    nan                    nan                     nan                    nan                    nan                    nan                    nan                   nan                    nan                   nan                    nan                    nan                    nan                  nan                   nan                  nan                   nan                   nan                   nan  1.0206082880991353e-05  1.5449992486876416e-05  4.155444912128332e-05  3.4315556371954624e-05   0.000185193907107463   -0.016886419300831148  0.00042830499095409294   -0.03905386402206342  0.0006562168940115002   -0.05983541142170068                    nan                    nan                    nan                     nan                    nan                     nan                  nan                   nan                   nan                  nan                   nan                   nan                  nan                   nan                  nan                   nan 
 iPTF13cco    0.3183                    nan                    nan                   nan                    nan                    nan                    nan   0.002091272948418108  0.00034124776858790456                    nan                    nan                    nan                    nan                   nan                    nan                   nan                    nan                    nan                    nan                  nan                   nan                  nan                   nan                   nan                   nan                     nan                     nan                    nan                     nan  0.0024468569687003784  0.00036470132860477587   0.0022411693770342735  0.0003046922065161352  0.0028378152781158837  0.0005948060004287589                    nan                    nan                    nan                     nan                    nan                     nan                  nan                   nan                   nan                  nan                   nan                   nan                  nan                   nan                  nan                   nan 
 iPTF13duv     0.154                    nan                    nan                   nan                    nan    0.02193556730251366  0.0032694720783680653    0.04591009336245979    0.005245395090218322    0.08083764940202769    0.00923599536011633    0.11151631246954548   0.013851898849425523   0.12654254350372157    0.01643653686167083   0.04629602024496192  0.0052894886397277475    0.07240281855284895   0.008614623575293192  0.09633177606511314  0.011461735961765734   0.1079900974914165  0.012338261277352465   0.09284356599964026  0.017248919580460313                     nan                     nan                    nan                     nan                    nan                     nan                     nan                    nan                    nan                    nan                    nan                    nan                    nan                     nan                    nan                     nan                  nan                   nan                   nan                  nan   0.11427030333039351  0.050768726466291415  0.10886241783354847  0.019387468928619273                  nan                   nan 
 iPTF14dek    0.3322                    nan                    nan                   nan                    nan   0.012699541516710386   0.007247131158569366   0.006250169127242513   0.0013100352687672769   0.002588375966727342  0.0019719270226727557   0.020718818812927555    -1.8891909963864264   0.05090978058035145     -4.642074433335834                   nan                    nan                    nan                    nan                  nan                   nan                  nan                   nan                   nan                   nan                     nan                     nan                    nan                     nan                    nan                     nan                     nan                    nan                    nan                    nan                    nan                    nan                    nan                     nan                    nan                     nan                  nan                   nan                   nan                  nan                   nan                   nan                  nan                   nan                  nan                   nan 
 iPTF14gik    0.1237    0.03125752441793629   0.006300059580299283  0.050857508892305295   0.007933825584612073    0.07603499956214047   0.009876141560592959    0.19356446158512988    0.021310347728606144     0.3005861928675454    0.03309283243405751    0.41682480217077006    0.04589004305555315   0.44542549551345745   0.050891482375743334   0.20621142901957867   0.022702707005373125     0.2898468196742866    0.03191048844765914    0.421269697362676   0.04637940076812616   0.4625977806902374   0.05092938798920395    0.5186890628013237  0.059262111315868476                     nan                     nan                    nan                     nan                    nan                     nan                     nan                    nan                    nan                    nan                    nan                    nan                    nan                     nan                    nan                     nan    0.477477606016252   0.15696157259122676    0.6256005694950783   0.5624037600113095    0.6407968058770377    0.2904507725001159   0.4799934871448997    0.0652562346292121  0.35058536392425194   0.04766289830699798 
